   r (kpc/h)    Vrot   N(i)  Vrot(measured)   %error        Vcirc       Vc%error       vphirms/vphirm_th Vr_rms/Vr_rms_th   Vz_rms/Vz_rms_th  
    0.58520   78.92135   18.00000   84.68383   -0.07302   80.26302    0.00000    0.96106    1.10763    0.92089
    0.58800   79.11605   18.00000   86.17570   -0.08923   80.47159    0.00000    1.07316    0.93805    1.14426
    0.59080   79.31058   18.00000   70.25822    0.11414   80.67967    0.00000    0.64555    1.12452    0.73017
    0.59360   79.50162   18.00000   84.05730   -0.05730   80.88431    0.00000    0.94933    0.71079    1.00341
    0.59640   79.69495   18.00000   88.71716   -0.11321   81.09146    0.00000    1.03544    1.17550    1.16655
    0.59920   79.88792   18.00000  103.38133   -0.29408   81.29797    0.00934    0.62096    1.03390    1.12485
    0.60200   80.07738   18.00000   84.24155   -0.05200   81.50126    0.00000    1.14889    1.24632    0.96131
    0.60480   80.26949   18.00000   85.43373   -0.06434   81.70686   -0.00925    1.05207    1.10247    1.18022
    0.60760   80.46112   18.00000   89.94338   -0.11785   81.91198    0.00000    1.09120    1.15754    1.08963
    0.61040   80.64907   18.00000   90.56303   -0.12293   82.11372    0.00000    0.72706    0.97339    1.09249
    0.61320   80.83997   18.00000   83.60022   -0.03414   82.31805    0.00000    1.17324    0.77015    0.83263
    0.61600   81.03014   18.00000   77.23564    0.04683   82.52167    0.00000    1.04655    0.93347    0.89266
    0.61880   81.21689   19.00000   82.36913   -0.01419   82.72214    0.00000    0.68959    0.84703    1.05041
    0.62160   81.40623   19.00000   71.01134    0.12769   82.92489   -0.00898    1.13091    0.74249    1.21373
    0.62440   81.59506   19.00000   78.47751    0.03821   83.12712   -0.00894    1.18694    1.18335    1.13078
    0.62720   81.78059   19.00000   88.25852   -0.07921   83.32635    0.00000    0.75757    0.96064    1.05101
    0.63000   81.96857   19.00000   94.17130   -0.14887   83.52764    0.00000    0.97854    0.90712    0.91414
    0.63280   82.15349   19.00000   77.88712    0.05193   83.72598   -0.00881    0.84309    0.83965    0.96637
    0.63560   82.34027   19.00000   84.72712   -0.02899   83.92636    0.00000    0.84483    0.88819    0.95200
